iter	Passed	Remaining
0	10	10129
1	18	9473
2	27	9107
3	35	8817
4	44	8808
5	52	8621
6	60	8586
7	68	8478
8	76	8450
9	84	8351
10	92	8352
11	100	8289
12	109	8323
13	117	8279
14	125	8243
15	133	8210
16	141	8201
17	149	8180
18	157	8149
19	165	8114
20	173	8096
21	181	8073
22	189	8061
23	197	8032
24	205	8023
25	214	8037
26	222	8026
27	231	8020
28	238	7999
29	246	7984
30	254	7965
31	262	7948
32	270	7933
33	278	7919
34	286	7903
35	294	7882
36	302	7865
37	310	7854
38	318	7840
39	326	7828
40	334	7812
41	342	7804
42	350	7793
43	358	7781
44	365	7763
45	373	7753
46	381	7736
47	389	7730
48	397	7720
49	405	7702
50	413	7690
51	421	7689
52	430	7689
53	438	7685
54	446	7677
55	455	7672
56	463	7662
57	471	7655
58	479	7650
59	488	7647
60	496	7638
61	504	7631
62	512	7625
63	520	7616
64	528	7604
65	536	7598
66	544	7585
67	553	7579
68	560	7567
69	569	7561
70	577	7550
71	585	7542
72	593	7539
73	601	7532
74	610	7529
75	618	7524
76	627	7518
77	635	7515
78	643	7507
79	651	7496
80	659	7485
81	667	7477
82	675	7466
83	684	7461
84	692	7450
85	700	7439
86	707	7426
87	715	7417
88	723	7407
89	731	7400
90	740	7397
91	749	7393
92	756	7381
93	765	7373
94	772	7361
95	780	7352
96	789	7352
97	797	7343
98	806	7335
99	813	7324
100	822	7318
101	830	7308
102	838	7303
103	846	7294
104	855	7289
105	863	7281
106	871	7275
107	879	7266
108	888	7261
109	896	7253
110	905	7250
111	913	7242
112	921	7233
113	929	7225
114	938	7219
115	946	7211
116	954	7201
117	961	7188
118	970	7181
119	977	7170
120	985	7162
121	993	7153
122	1002	7145
123	1010	7137
124	1019	7134
125	1027	7126
126	1035	7117
127	1043	7108
128	1052	7103
129	1060	7094
130	1068	7086
131	1076	7076
132	1084	7067
133	1092	7061
134	1100	7052
135	1108	7043
136	1116	7035
137	1124	7027
138	1133	7018
139	1141	7009
140	1149	7004
141	1158	6998
142	1166	6992
143	1174	6984
144	1183	6978
145	1191	6970
146	1200	6964
147	1209	6960
148	1218	6957
149	1227	6955
150	1237	6956
151	1247	6961
152	1257	6962
153	1267	6963
154	1278	6967
155	1287	6967
156	1297	6965
157	1306	6962
158	1321	6989
159	1334	7007
160	1346	7018
161	1358	7026
162	1369	7031
163	1383	7054
164	1393	7052
165	1402	7047
166	1411	7040
167	1420	7033
168	1429	7027
169	1438	7021
170	1447	7015
171	1456	7010
172	1465	7004
173	1474	6998
174	1483	6993
175	1492	6988
176	1501	6982
177	1510	6976
